Tag,UserID,Answers,Accepted,Votes,Reputation,AvgAnswerLength,AvgAcceptedLength,LastActiveTime,Days,Score
jpa,216021,15,24,61,21546,699.3333333,811.6666667,1412240096,110,23.45923692
multithreading,217324,20,21,87,35176,1612.2,1100.952381,1419006715,32,23.20492317
android,3001496,59,38,87,9345,771.1525424,1098.552632,1409592200,140,23.17123258
string,1357341,5,8,93,67362,761.6,416.875,1415317509,74,23.17119385
eclipse,438154,11,20,63,103745,676.6363636,483.3,1417910113,44,23.13290968
multithreading,1250772,0,1,65,19796,0,2007,1407362958,166,22.99316
maven,260990,67,40,88,124578,437.238806,308.925,1419978593,20,22.92362056
xml,303810,38,34,67,12288,1170.236842,1347.705882,1420065777,19,22.82122736
spring,1291150,6,22,40,5136,842.1666667,788.1818182,1419867733,22,22.80403714
regex,20670,17,20,80,158078,415.5294118,632.65,1417632165,47,22.7275
string,522444,8,16,66,171478,576.5,1042.8125,1417488077,49,22.66202
generics,298029,0,3,60,6550,0,1203.333333,1419832424,22,22.634655
swing,2891664,11,17,72,11426,1666.272727,2688,1417905405,44,22.40885964
netbeans,522444,7,19,50,171478,2529.285714,1903.578947,1417281439,51,22.27259654
android,3530129,9,24,40,17169,916.2222222,1310.708333,1419992203,20,22.22415636
hibernate,2898867,36,28,86,11596,943.1388889,1238.285714,1399145360,261,22.16289688
eclipse,22656,13,17,78,744456,796.0769231,702.7058824,1415985717,66,22.148977
jdbc,2970947,19,25,60,61282,578.5263158,618.08,1419393127,27,21.98457386
string,992484,19,20,82,173798,1307.105263,1816.6,1416798512,57,21.97457179
multithreading,3049628,28,20,109,21952,537.7857143,908.7,1410955104,125,21.93756458
xml,592139,14,24,50,66938,964.8571429,1015.5,1415898621,67,21.65434105
android,514483,0,1,61,1907,0,362,1398096958,274,21.61998
arrays,1679863,9,13,79,92484,630,965.6153846,1396265039,295,21.55511386
java-ee,438154,7,16,57,103745,510,796.4375,1419873779,21,21.45697391
regex,1064245,15,18,76,14390,407.2,317.3333333,1419714989,23,21.38005909
multithreading,2189127,2,14,43,21025,3368,3356.5,1415284438,75,21.33724688
spring,613628,25,25,70,2493,866.76,864.28,1419046349,31,21.239825
eclipse,115145,10,16,67,438380,298.8,798.4375,1418751509,34,21.20263077
hibernate,2696260,14,22,55,16574,1176.785714,1680.636364,1416825472,57,21.17166639
android,3410697,6,23,31,5987,301.3333333,646.1304348,1417426326,50,21.10658448
arraylist,1065197,18,18,84,49705,737.6111111,1075.944444,1416710354,58,21.06003
arrays,992484,26,23,80,173798,1356.807692,1612.043478,1418867860,33,20.9410799
android,3222695,50,35,69,5833,434.18,539.8571429,1415391499,73,20.75318
swing,2588463,13,19,62,1780,2083.769231,4044.947368,1415206577,76,20.75256
jsp,1654265,34,33,50,19878,866.1764706,1205.787879,1418252682,40,20.47793082
regex,1093528,26,22,81,45882,569.5769231,507.3636364,1419866067,22,20.29404438
android,240646,15,22,53,29142,445.8,346.4545455,1398601944,268,20.2262827
string,1221571,28,19,103,61015,426.3214286,468.6315789,1419855795,22,20.17694894
regex,3622940,20,18,85,6172,613.35,881.5555556,1419874782,21,20.17009184
generics,34397,3,10,56,425902,261,464.4,1419298269,28,20.14715
regex,1578604,11,19,53,41530,545.6363636,415,1399578035,256,20.10458083
android,1091466,15,26,38,6792,920.8,875.5384615,1419631593,24,20.0285261
string,1927832,11,13,80,51471,461.4545455,428.5384615,1414587841,83,20.00869542
eclipse,639520,33,30,57,14569,613.4242424,514.5,1419369168,27,19.94454286
eclipse,653856,13,23,43,71722,787.3076923,775.3478261,1408874481,149,19.89820403
mysql,767881,15,24,44,13015,857.2,872.1666667,1412321579,109,19.86784308
maven,34088,19,25,49,160347,594.1578947,731.88,1418036599,43,19.83898011
swing,1989769,38,26,83,2384,709.6052632,856.1153846,1417682561,47,19.65768391
hibernate,216021,21,25,52,21546,664.5238095,776.48,1415800742,69,19.60023913
android,321697,25,26,56,62554,697.92,1235.884615,1418316767,40,19.55225745
regex,335858,15,18,66,307351,570.1333333,718.1666667,1419689029,24,19.50754091
json,302916,11,18,54,45414,767.8181818,1148.888889,1398887777,264,19.49485966
maven,3071225,14,22,47,2308,863.6428571,702.0454545,1397734139,278,19.49333528
arraylist,871026,2,11,45,97684,263,263.3636364,1416702093,58,19.49120462
string,1093528,23,17,96,45882,679.4347826,639.1764706,1419866067,22,19.48858325
swing,964243,10,19,47,16823,1095.5,922.3157895,1419752979,23,19.40969897
swing,1803551,36,32,50,2047,1480.333333,2332.90625,1414490069,84,19.30135059
netbeans,1795530,6,14,51,12260,1492.333333,1967.714286,1418309879,40,19.1573795
android,2668136,13,22,43,5836,1189.615385,1166.818182,1401149931,238,19.150076
spring,280244,40,27,78,47605,921.5,788.5925926,1418881961,33,19.12913933
jpa,496099,27,31,38,8738,707.9259259,699.6451613,1417101743,54,19.07358914
android,132047,3,11,48,30429,938.3333333,535.2727273,1418839569,33,18.95450857
jdbc,1065197,16,21,52,49705,2181.0625,1286.571429,1418225020,41,18.76016554
multithreading,335858,6,13,53,307351,971.5,654.6923077,1416968185,55,18.73046158
android,302916,7,13,57,45414,686.7142857,1241.307692,1398055844,274,18.72483925
android,671543,21,22,58,19024,465.8095238,622.1818182,1419958937,20,18.46324674
spring-mvc,1291150,1,16,25,5136,1036,673.3125,1419772288,23,18.35775059
generics,697449,8,10,75,28681,1567.5,1595.5,1417798569,46,18.33820833
java-ee,571407,4,18,29,279389,350.75,630.2777778,1418571328,37,18.33806045
android,2738565,113,48,64,11778,1826.477876,1692.604167,1419943423,21,18.25381416
regex,2953344,38,27,68,15455,319.0789474,331.6296296,1397738426,278,18.242739
swing,2227526,10,17,49,3551,1143.9,1592.705882,1419764155,23,18.23026481
android,2970947,39,25,79,61282,494.4871795,624.92,1419666910,24,18.1230293
string,256196,59,19,169,150760,491,401.7894737,1419925418,21,18.12236929
arrays,522444,28,18,94,171478,1062.928571,1161.555556,1418747557,35,18.05586261
regex,1679863,7,14,50,92484,479.7142857,610.1428571,1408724547,151,18.05557667
swing,1438660,34,22,84,3802,1757.558824,1335.454545,1414297036,86,17.98484286
arraylist,1587046,10,14,60,26579,630.4,507.5714286,1417802516,45,17.90439
eclipse,1478599,0,1,50,746,0,183,1401834687,230,17.843735
arraylist,571407,21,17,78,279389,566.7142857,540.7058824,1418382807,39,17.69710289
swing,177145,21,18,72,3527,2356.952381,3767.888889,1418387967,39,17.62035923
user-interface,1449199,2,18,21,19035,1405,1573.611111,1412790692,103,17.5939875
spring,241990,9,20,33,11623,570.6666667,618.2,1418932184,32,17.54428276
arrays,616460,13,17,54,17518,1329.230769,1129.529412,1416977248,55,17.480165
xml,1305253,3,16,28,10939,938.3333333,1454.0625,1415190529,76,17.39195368
android,1590502,14,18,52,10141,893.5,718.6111111,1414941955,79,17.38053
xml,3190413,29,27,46,11847,1607.758621,1516.074074,1404747939,197,17.27731929
xml,1064245,2,15,27,14390,1023.5,737.1333333,1415969972,67,17.26913824
android,294248,20,22,49,20626,1104.4,995.8636364,1419617733,24,17.25356548
android,3330969,20,18,67,4121,658.75,363.5555556,1417169869,53,17.24305026
android,207421,96,39,80,129140,330.8854167,381.3333333,1419378464,27,17.21939989
android,1741671,2,10,40,12304,135,505.6,1401218033,237,17.19966667
generics,829571,7,8,75,114505,645.4285714,656.5,1415698730,70,16.848976
user-interface,1155209,3,11,40,46396,3233,2605.818182,1412289731,109,16.79665429
arrays,571407,28,17,91,279389,474.9285714,522.5294118,1419192857,29,16.78613622
jpa,18122,7,13,48,15225,1034.428571,871.6153846,1417561084,48,16.7165635
android,2363918,35,31,36,6675,501.1142857,1079.516129,1407383136,166,16.66075273
android,3805262,40,32,39,5674,913,1684.4375,1419868701,22,16.65556667
hibernate,4074715,34,26,54,5813,499.5,572.1538462,1419946762,21,16.551899
generics,2711488,8,12,55,23786,1152.375,1927.5,1418652451,36,16.500507
regex,256196,80,27,123,150760,379.025,448,1419954050,21,16.47148374
android,1202025,38,26,60,55235,394.9736842,388.1153846,1419843015,22,16.45002125
regex,2255089,33,19,87,39567,460.4848485,865.4736842,1417366965,50,16.3376451
spring,516167,11,12,65,8922,1009.090909,805.1666667,1403105324,216,16.23168
multithreading,1707091,4,11,42,80764,341,585.0909091,1414626952,82,16.223625
android,1253844,13,18,43,10472,756.6923077,611.7777778,1418228196,41,16.11295548
servlets,571407,9,16,40,279389,609.6666667,721.625,1418307645,40,16.0808544
generics,869736,11,12,64,75131,425.1818182,349.3333333,1419462333,26,16.05256957
android,1373545,13,23,25,3683,467.1538462,552.9565217,1419899077,21,15.95031153
spring,3510410,8,17,33,4627,1393.375,1253.882353,1414220565,87,15.8734304
android,2399024,33,27,43,4983,510.3636364,611.4444444,1418306382,40,15.76820475
eclipse,260990,23,18,65,124578,401.2173913,323.1111111,1419895205,21,15.75760829
spring,2692962,1,23,2,272,884,1291.521739,1420063864,19,15.68046083
sql,1144035,27,21,58,254853,495.4444444,718.6666667,1418570478,37,15.6459275
spring,2587166,15,21,34,8151,400.8666667,660.3809524,1415875108,68,15.64228167
android,11654,23,25,34,57670,340.3913043,437.84,1419669641,24,15.62660417
string,3218114,28,18,75,30153,587.1785714,719.6666667,1415705942,70,15.50353891
hibernate,2065083,44,31,40,3115,787.0681818,1000.677419,1417169807,53,15.44843047
generics,3182664,10,13,52,16404,2391.5,2241.153846,1412434107,108,15.41228848
json,1093528,15,19,40,45882,674,693.5263158,1418959121,32,15.37722529
spring,260990,10,15,43,124578,275.7,302.8,1419961366,20,15.321726
swing,22656,5,10,46,744456,555.6,627.3,1417703761,47,15.25086333
jsp,1066779,11,14,49,3003,1655.181818,2168.214286,1410010334,136,15.1065432
spring,714969,14,18,40,50683,587.4285714,790.9444444,1407283705,167,15.06328875
arraylist,335858,4,14,28,307351,1123.25,1033.357143,1418902470,33,15.05307222
android,2783244,7,16,30,5216,1421.714286,817.8125,1399826196,254,15.00899826
jpa,1356423,17,23,27,4194,1059.941176,1315.26087,1419850811,22,14.88571213
arraylist,1679863,4,9,44,92484,562.5,1222.888889,1396080239,297,14.85120808
arraylist,522444,17,14,65,171478,1172.882353,1688.857143,1419605591,25,14.82308258
swing,3352285,27,18,67,2902,600.1111111,752.6111111,1419024122,31,14.725928
arraylist,829571,5,9,48,114505,601.4,549.4444444,1418213524,41,14.71107857
jdbc,398670,7,13,39,86821,465.7142857,1029.692308,1416568670,60,14.70828775
json,3218114,24,24,34,30143,1046.708333,1339.75,1416487256,61,14.691535
android,492694,9,18,27,20224,494,470.7222222,1419033265,31,14.68098
eclipse,1064245,12,15,45,14390,774.1666667,768.0666667,1420107538,19,14.63375
sql,571407,12,17,37,279389,428.8333333,774.3529412,1413974881,90,14.62724552
generics,1393766,6,11,43,40100,500.6666667,1383.818182,1417613089,48,14.61341588
spring,3364187,32,19,71,3567,894.1875,995.4736842,1419328229,28,14.58971255
android,2387054,9,16,33,2085,768.4444444,1576.6875,1418339355,39,14.5428928
arrays,1357341,8,10,55,67362,551.5,574.6,1407871675,160,14.52381944
string,1864167,5,3,106,21954,604.4,687,1415316941,74,14.5204125
swing,2471439,7,11,46,4944,413.8571429,814.9090909,1419261934,29,14.46697389
xml,438154,12,15,44,103745,520.6666667,726.4,1418144509,41,14.44303056
android,1895303,10,16,35,5592,562.5,906.375,1418880524,33,14.44236
android,2029566,20,20,41,6316,521.3,593.85,1418917107,33,14.4171475
json,7512,0,2,38,13180,0,1845,1402302764,225,14.40318
swing,1057230,12,12,58,17098,3145.5,3236.916667,1414518567,83,14.383315
arrays,1393766,19,13,74,40110,853.2105263,1030.692308,1419808818,22,14.36140875
android,1989739,22,21,40,5351,320.5909091,468.6190476,1410770567,127,14.30341012
spring,3246484,38,25,49,2503,918.9473684,658.2,1410965541,125,14.30044841
spring,865403,5,13,31,7985,1025.6,1295.384615,1418507584,37,14.27387361
swing,928711,11,12,54,32702,3534.818182,1978,1419789368,22,14.26146522
user-interface,1795530,11,13,49,12260,1323.181818,1558.846154,1417794325,46,14.24420021
spring,1189885,15,16,46,23724,491.0666667,425.5,1418487123,38,14.21417032
arrays,829571,11,9,72,114505,504.1818182,389.4444444,1418667208,35,14.1645735
android,1239966,16,22,25,3082,517.1875,765.7727273,1416324312,63,14.16316289
android,,89,30,89,0,725.5842697,887.4333333,1419807712,22,14.16090252
string,871026,21,12,86,97684,224.8571429,182.3333333,1419294684,28,14.14896909
spring,1384297,12,18,31,4450,552.75,781.1666667,1419801627,22,14.142945
multithreading,3218114,34,18,77,30153,1304.882353,1811.333333,1416487590,61,14.07482135
json,573032,10,20,20,22238,592.7,786.3,1419846686,22,14.02356667
spring,2587435,4,13,27,40777,1504.5,2289.538462,1420133724,18,14.01833588
eclipse,992484,16,14,57,173798,1083,998.3571429,1417741431,46,14.008029
android,871026,11,12,52,97684,275.8181818,231,1419294684,28,13.90324435
arrays,57695,20,14,67,251832,627.85,737.5,1419631050,24,13.87072853
spring,1157935,6,13,32,2260,427.1666667,615.7692308,1412697164,105,13.79785447
android,139985,39,20,72,284075,1087.769231,994.85,1419036009,31,13.76168305
android,1816262,0,1,38,1593,0,219,1406204252,180,13.724195
arrays,263525,0,2,36,155679,0,816.5,1418734388,35,13.71659
android,3049628,19,15,57,21952,264.8947368,578.6666667,1412762097,104,13.62049191
arrays,1705598,8,12,41,14678,1264.625,902.9166667,1417856350,45,13.616829
spring,618059,22,22,32,3729,511.6818182,624.7272727,1419963010,20,13.61028
jsp,260990,24,19,48,124578,243.1666667,267.8947368,1419963638,20,13.60677267
arrays,2670792,30,16,77,22087,581.4,618.1875,1410125921,134,13.58842609
spring,1082681,16,22,22,9083,1512.3125,1654.272727,1419267042,29,13.56691368
spring,1160445,3,12,25,1867,902,1107.416667,1419329629,28,13.525696
string,1705598,4,6,53,14678,1405.25,3906.333333,1416369104,62,13.502667
jpa,1869933,35,23,47,3485,880.9142857,941.0434783,1416520238,60,13.40965233
string,3622940,11,10,60,6172,849.5454545,867.5,1419874782,21,13.35060714
spring,204788,15,18,33,22047,756.0666667,653.8888889,1419494337,26,13.32823091
arraylist,438154,9,8,65,103745,522.8888889,423.875,1417284230,51,13.30674353
hibernate,2357233,31,21,49,2003,1137.612903,1761.904762,1418181905,41,13.28991663
string,2193767,57,17,125,12154,422.4385965,568.1764706,1418813078,34,13.28209885
swing,2557554,27,15,74,1702,1051.851852,1113,1410917121,125,13.27890357
android,471160,45,24,56,13887,550.9555556,489.2083333,1419858095,22,13.27792522
string,1091466,3,4,59,6792,826.6666667,685.5,1406803230,173,13.22701143
multithreading,103154,2,10,26,135248,462,752.3,1405328470,190,13.19455833
eclipse,3218114,25,19,47,30153,799.72,548.9473684,1414759911,81,13.1747533
swing,974186,6,9,45,11384,1255.166667,1208.888889,1415953678,67,13.147794
android,589259,14,18,30,28066,816.4285714,1526.611111,1419945203,21,13.13225438
